date,HLY_TEMP_NORMAL_LA,HLY_TEMP_10PCTL_LA,HLY_TEMP_90PCTL_LA,HLY_DEWP_NORMAL_LA,HLY_DEWP_10PCTL_LA,HLY_DEWP_90PCTL_LA,HLY_PRES_NORMAL_LA,HLY_PRES_10PCTL_LA,HLY_PRES_90PCTL_LA,HLY_CLDH_NORMAL_LA,HLY_HTDH_NORMAL_LA,HLY_CLOD_PCTCLR_LA,HLY_CLOD_PCTFEW_LA,HLY_CLOD_PCTSCT_LA,HLY_CLOD_PCTBKN_LA,HLY_CLOD_PCTOVC_LA,HLY_HIDX_NORMAL_LA,HLY_WCHL_NORMAL_LA,HLY_WIND_AVGSPD_LA,HLY_WIND_PCTCLM_LA,HLY_WIND_VCTDIR_LA,HLY_WIND_VCTSPD_LA,HLY_WIND_1STDIR_LA,HLY_WIND_1STPCT_LA,HLY_WIND_2NDDIR_LA,HLY_WIND_2NDPCT_LA,Megawatts_2021
11-29T09:00:00,59.5,54.0,64.9,39.8,19.9,55.0,1019.0,1014.6,1023.7,0.4,5.9,19.0,23.1,23.7,21.9,12.3,59.5,59.5,5.9,13.1,65.0,3.2,3.0,35.3,2.0,23.5,22852.166666666668
11-29T10:00:00,62.6,57.0,69.1,40.1,19.0,55.0,1019.2,1014.5,1023.8,1.2,3.5,18.0,21.3,20.8,26.9,13.1,62.6,62.6,5.7,14.8,59.0,2.3,3.0,21.8,2.0,21.5,22200.166666666668
11-29T11:00:00,65.1,58.6,72.0,39.6,18.0,55.0,1018.7,1014.1,1023.3,2.3,2.2,21.0,23.0,23.5,22.0,10.4,65.1,65.1,5.8,16.4,66.0,0.1,7.0,15.1,3.0,14.1,21993.916666666668
11-29T12:00:00,66.2,60.1,73.9,40.1,18.0,55.0,1017.8,1013.2,1022.4,2.8,1.7,22.2,19.8,25.5,22.8,9.8,66.2,66.2,7.1,13.3,251.0,3.7,7.0,32.9,6.0,18.5,22354.416666666668
11-29T13:00:00,65.9,59.0,73.9,42.0,21.0,55.9,1017.1,1012.5,1021.7,2.6,1.7,20.5,21.8,25.5,21.5,10.8,65.9,65.9,9.1,4.7,252.0,6.7,7.0,50.1,6.0,23.8,22996.08333333333
11-29T14:00:00,65.2,59.0,73.0,43.6,25.0,55.9,1016.7,1012.2,1021.2,2.1,1.9,20.4,21.2,27.6,19.4,11.5,65.2,65.2,10.0,1.1,256.0,7.9,7.0,59.2,6.0,23.1,24090.75
11-29T15:00:00,64.2,59.0,71.1,44.6,27.0,55.9,1016.6,1012.0,1020.9,1.6,2.4,17.8,24.6,26.8,18.7,12.2,64.2,64.2,10.2,0.7,259.0,8.3,7.0,64.6,6.0,20.8,25479.5
11-29T16:00:00,62.9,57.9,70.0,45.7,28.0,57.0,1016.6,1012.0,1021.1,1.1,3.2,16.9,24.6,22.0,23.2,13.2,62.9,62.8,10.0,1.6,262.0,8.0,7.0,65.1,6.0,17.7,27019.416666666668
11-29T17:00:00,61.0,56.3,66.9,46.8,32.0,57.0,1016.7,1012.2,1021.1,0.5,4.5,14.8,29.1,24.8,20.1,11.2,61.0,61.0,8.7,1.8,264.0,6.9,7.0,58.2,6.0,19.3,28609.08333333333
11-29T18:00:00,60.3,55.9,65.3,47.0,30.9,57.0,1017.0,1012.4,1021.6,0.3,5.0,24.5,23.5,22.5,17.2,12.3,60.3,60.3,7.5,4.9,266.0,5.4,7.0,47.6,6.0,23.1,28250.33333333333
11-29T19:00:00,59.8,55.9,64.9,46.6,29.3,57.0,1017.3,1012.6,1021.9,0.2,5.4,34.8,20.5,15.7,18.4,10.6,59.8,59.8,6.3,13.1,274.0,3.8,7.0,36.6,6.0,18.1,27451.83333333333
11-29T20:00:00,59.5,55.0,64.0,46.0,26.1,57.0,1017.6,1012.8,1022.0,0.2,5.7,39.4,19.0,15.1,14.9,11.5,59.5,59.4,5.5,19.3,291.0,2.4,7.0,24.0,6.0,14.2,26566.58333333333
11-29T21:00:00,58.9,54.0,64.0,45.2,24.1,57.0,1017.8,1013.1,1022.2,0.1,6.2,41.6,17.5,15.1,14.8,11.0,58.9,58.9,5.0,19.8,333.0,1.0,1.0,15.5,7.0,15.3,25468.75
11-29T22:00:00,58.2,53.1,62.1,44.9,24.1,57.0,1017.9,1013.2,1022.4,0.1,6.9,38.8,17.4,13.7,15.1,15.1,58.2,58.1,5.0,22.0,31.0,1.2,3.0,19.5,1.0,14.0,23762.5
11-29T23:00:00,57.8,53.1,62.1,44.0,24.1,57.0,1018.0,1013.5,1022.7,0.1,7.2,41.6,17.0,15.5,13.7,12.2,57.8,57.8,5.3,19.6,32.0,1.8,3.0,24.0,2.0,15.2,22249.666666666668
11-30T00:00:00,57.0,52.0,62.1,43.1,23.0,55.9,1017.9,1013.4,1022.4,0.1,8.1,38.9,19.1,14.8,15.6,11.6,57.0,56.9,5.2,17.6,44.0,2.4,3.0,28.9,2.0,20.0,21289.69230769231
11-30T01:00:00,56.1,51.1,61.0,42.6,21.0,55.9,1017.7,1013.2,1022.1,0.0,8.9,39.4,20.5,11.9,14.4,13.9,56.1,56.0,4.9,18.7,50.0,2.4,3.0,29.0,2.0,22.2,20587.08333333333
11-30T02:00:00,54.9,50.0,60.1,41.9,21.0,55.0,1017.7,1013.3,1022.4,0.0,10.1,40.2,19.2,12.4,14.1,14.1,54.9,54.7,4.6,23.9,53.0,2.6,3.0,32.5,2.0,19.7,20084.25
11-30T03:00:00,54.1,48.9,59.0,41.3,21.0,55.0,1017.6,1013.2,1022.1,0.0,10.9,37.7,20.4,14.8,14.1,13.1,54.1,53.8,4.5,22.4,55.0,2.7,3.0,34.3,2.0,21.7,19914.58333333333
11-30T04:00:00,53.5,48.9,59.0,40.9,21.9,55.0,1017.5,1012.8,1021.9,0.0,11.5,35.1,18.4,13.1,17.2,16.2,53.5,53.1,4.4,22.9,57.0,2.9,3.0,31.2,2.0,26.8,20463.5
11-30T05:00:00,53.1,48.0,59.0,40.4,21.0,54.0,1017.5,1013.1,1022.2,0.0,11.9,36.1,24.3,13.6,13.1,12.8,53.1,52.6,4.2,26.2,59.0,2.7,3.0,30.3,2.0,23.6,21817.83333333333
