date,HLY_TEMP_NORMAL_LA,HLY_TEMP_10PCTL_LA,HLY_TEMP_90PCTL_LA,HLY_DEWP_NORMAL_LA,HLY_DEWP_10PCTL_LA,HLY_DEWP_90PCTL_LA,HLY_PRES_NORMAL_LA,HLY_PRES_10PCTL_LA,HLY_PRES_90PCTL_LA,HLY_CLDH_NORMAL_LA,HLY_HTDH_NORMAL_LA,HLY_CLOD_PCTCLR_LA,HLY_CLOD_PCTFEW_LA,HLY_CLOD_PCTSCT_LA,HLY_CLOD_PCTBKN_LA,HLY_CLOD_PCTOVC_LA,HLY_HIDX_NORMAL_LA,HLY_WCHL_NORMAL_LA,HLY_WIND_AVGSPD_LA,HLY_WIND_PCTCLM_LA,HLY_WIND_VCTDIR_LA,HLY_WIND_VCTSPD_LA,HLY_WIND_1STDIR_LA,HLY_WIND_1STPCT_LA,HLY_WIND_2NDDIR_LA,HLY_WIND_2NDPCT_LA,Megawatts_2019
12-26T20:00:00,56.9,52.0,62.1,43.2,25.0,55.0,1018.4,1013.2,1023.4,0.1,8.2,34.0,19.8,14.7,16.4,15.2,56.9,56.8,5.5,18.9,308.0,1.8,7.0,19.7,1.0,16.1,338791.0
12-26T21:00:00,56.3,52.0,61.2,42.6,24.1,55.0,1018.6,1013.3,1023.5,0.0,8.7,37.0,16.8,14.8,15.8,15.6,56.3,56.2,5.1,21.6,6.0,1.1,3.0,14.3,1.0,12.5,327572.0
12-26T22:00:00,55.7,51.1,61.0,42.1,25.0,54.0,1018.8,1013.3,1023.8,0.0,9.4,35.1,15.8,13.3,18.1,17.6,55.7,55.5,4.9,23.7,38.0,1.5,3.0,20.7,1.0,13.4,306400.0
12-26T23:00:00,55.4,50.0,61.0,41.3,24.1,54.0,1018.9,1013.6,1023.8,0.0,9.7,37.2,16.5,14.5,15.5,16.5,55.4,55.1,5.4,16.7,47.0,2.2,3.0,25.7,2.0,15.4,284849.0
12-27T00:00:00,54.4,50.0,60.1,40.5,24.1,54.0,1018.7,1013.2,1023.5,0.0,10.7,36.1,16.5,15.0,15.0,17.4,54.4,54.0,5.3,18.0,54.0,2.4,3.0,30.7,2.0,17.0,293496.0
12-27T01:00:00,53.4,48.9,59.0,40.0,23.0,53.1,1018.5,1013.3,1023.4,0.0,11.6,37.6,16.9,14.7,14.9,15.9,53.4,52.9,5.3,16.7,49.0,2.5,3.0,27.9,2.0,18.9,260069.0
12-27T02:00:00,52.2,46.9,57.9,39.6,23.0,52.0,1018.6,1013.3,1023.5,0.0,12.8,38.2,17.0,13.2,15.8,15.8,52.2,51.6,4.8,22.4,51.0,2.3,3.0,28.2,2.0,19.9,254337.0
12-27T03:00:00,51.3,46.0,57.0,39.2,23.0,52.0,1018.6,1013.1,1023.5,0.0,13.7,38.4,17.7,14.1,14.1,15.7,51.3,50.6,4.6,24.0,51.0,2.4,3.0,27.6,2.0,22.1,251982.0
12-27T04:00:00,50.6,45.9,55.9,38.8,23.0,52.0,1018.3,1012.8,1023.1,0.0,14.4,34.8,16.5,13.6,16.5,18.6,50.6,49.7,4.3,27.9,58.0,2.6,3.0,31.0,2.0,18.2,255808.0
12-27T05:00:00,50.4,45.0,57.0,38.2,21.9,52.0,1018.3,1012.7,1023.3,0.0,14.6,35.2,18.6,14.3,13.6,18.3,50.4,49.5,4.2,28.7,60.0,2.4,3.0,28.3,2.0,17.9,271226.0
12-27T06:00:00,50.1,44.1,56.1,37.9,21.9,52.0,1018.6,1013.1,1023.5,0.0,14.9,35.4,20.0,13.2,13.0,18.5,50.1,49.3,4.4,25.6,64.0,2.4,3.0,32.2,2.0,16.4,292899.0
12-27T07:00:00,50.7,45.0,57.0,37.3,21.0,52.0,1018.9,1013.6,1023.9,0.0,14.3,16.1,21.4,26.3,21.2,15.1,50.7,49.7,5.1,18.4,65.0,2.8,3.0,32.2,2.0,21.2,305008.0
12-27T08:00:00,52.3,46.9,57.9,37.4,21.9,52.0,1019.4,1014.1,1024.2,0.0,12.7,15.9,20.6,24.9,20.1,18.5,52.3,51.5,5.2,17.1,65.0,3.2,3.0,32.4,2.0,24.3,298980.0
12-27T09:00:00,55.6,50.0,62.1,37.6,21.0,52.0,1019.8,1014.7,1024.6,0.1,9.5,16.7,20.0,25.6,20.5,17.2,55.6,55.3,5.6,11.1,71.0,3.3,3.0,35.4,2.0,21.4,286713.0
12-27T10:00:00,58.9,53.1,66.9,37.8,19.9,52.0,1020.1,1014.9,1025.0,0.5,6.5,16.2,18.3,21.2,25.8,18.5,58.9,58.9,5.9,14.2,73.0,2.9,3.0,27.3,2.0,24.5,273770.0
12-27T11:00:00,61.5,54.7,70.0,37.8,19.9,52.0,1019.7,1014.6,1024.5,1.2,4.7,18.5,17.7,22.8,24.4,16.7,61.5,61.5,5.8,15.6,75.0,1.6,3.0,21.9,4.0,16.1,262872.0
12-27T12:00:00,63.0,55.9,72.0,38.2,19.9,53.1,1018.7,1013.6,1023.3,1.8,3.8,18.1,17.1,23.4,25.9,15.4,63.0,63.0,6.5,12.2,237.0,1.4,7.0,22.8,4.0,13.8,256601.0
12-27T13:00:00,63.3,55.9,72.0,40.0,21.9,54.0,1017.9,1012.8,1022.6,1.7,3.5,19.7,15.6,22.3,24.8,17.6,63.3,63.3,8.0,7.6,250.0,4.4,7.0,37.6,6.0,21.0,256208.0
12-27T14:00:00,62.8,55.9,71.1,41.1,23.0,54.0,1017.5,1012.4,1022.3,1.5,3.6,18.9,14.5,23.0,26.8,16.8,62.8,62.8,9.0,4.4,253.0,6.0,7.0,48.7,6.0,20.2,262894.0
12-27T15:00:00,61.9,55.9,70.0,42.3,26.1,54.0,1017.5,1012.2,1022.4,1.0,4.2,15.0,19.0,23.6,26.1,16.3,61.9,61.9,9.5,2.4,259.0,6.6,7.0,52.5,6.0,21.1,279022.0
12-27T16:00:00,60.5,55.0,66.9,43.3,28.0,55.0,1017.5,1012.4,1022.5,0.6,5.1,12.9,19.4,21.2,27.7,18.7,60.5,60.5,9.5,1.8,260.0,6.6,7.0,55.6,6.0,18.8,304718.0
12-27T17:00:00,58.7,54.0,64.0,44.1,28.0,55.0,1017.7,1012.3,1022.7,0.3,6.6,12.8,21.6,26.3,23.8,15.5,58.7,58.7,8.3,2.9,264.0,5.5,7.0,51.9,6.0,15.2,336158.0
12-27T18:00:00,57.8,53.1,63.0,44.2,28.9,55.0,1017.9,1012.5,1022.9,0.2,7.3,17.1,23.0,25.5,19.6,14.9,57.8,57.7,7.2,7.1,272.0,4.3,7.0,44.2,6.0,15.1,339801.0
12-27T19:00:00,57.2,53.1,62.1,43.8,27.0,55.0,1018.2,1012.7,1023.1,0.1,7.8,31.4,17.3,17.5,21.0,12.8,57.2,57.1,6.1,14.2,280.0,2.8,7.0,29.5,6.0,17.5,336557.0
12-27T20:00:00,56.9,52.0,62.1,43.3,25.0,54.1,1018.4,1013.1,1023.3,0.1,8.2,33.3,21.0,14.2,16.4,15.2,56.9,56.8,5.4,18.9,310.0,1.7,7.0,18.8,1.0,16.2,330667.0
12-27T21:00:00,56.3,51.1,61.3,42.6,25.0,54.0,1018.6,1013.3,1023.5,0.0,8.7,35.5,18.3,14.9,15.9,15.4,56.3,56.2,5.1,21.8,9.0,1.2,3.0,13.7,1.0,13.3,320102.0
12-27T22:00:00,55.7,51.1,61.0,42.2,25.0,54.0,1018.8,1013.3,1023.6,0.0,9.4,34.8,15.7,13.9,18.0,17.7,55.7,55.5,4.9,23.6,38.0,1.6,3.0,21.2,1.0,13.4,302466.0
