date,HLY_TEMP_NORMAL_LA,HLY_TEMP_10PCTL_LA,HLY_TEMP_90PCTL_LA,HLY_DEWP_NORMAL_LA,HLY_DEWP_10PCTL_LA,HLY_DEWP_90PCTL_LA,HLY_PRES_NORMAL_LA,HLY_PRES_10PCTL_LA,HLY_PRES_90PCTL_LA,HLY_CLDH_NORMAL_LA,HLY_HTDH_NORMAL_LA,HLY_CLOD_PCTCLR_LA,HLY_CLOD_PCTFEW_LA,HLY_CLOD_PCTSCT_LA,HLY_CLOD_PCTBKN_LA,HLY_CLOD_PCTOVC_LA,HLY_HIDX_NORMAL_LA,HLY_WCHL_NORMAL_LA,HLY_WIND_AVGSPD_LA,HLY_WIND_PCTCLM_LA,HLY_WIND_VCTDIR_LA,HLY_WIND_VCTSPD_LA,HLY_WIND_1STDIR_LA,HLY_WIND_1STPCT_LA,HLY_WIND_2NDDIR_LA,HLY_WIND_2NDPCT_LA,AvgMegawatts2019-2020
10-02T01:00:00,64.8,61.0,69.1,58.6,52.0,63.0,1012.6,1009.5,1015.4,1.2,1.4,35.5,17.1,13.4,12.2,21.8,64.8,64.8,4.1,24.2,175.0,0.5,3.0,23.1,7.0,17.2,22800.58333333333
10-02T02:00:00,64.2,60.1,69.1,58.4,51.1,63.0,1012.4,1009.3,1015.3,0.9,1.7,34.6,18.2,11.1,11.1,25.1,64.2,64.2,3.2,37.1,94.0,0.3,3.0,19.4,7.0,13.8,22001.166666666668
10-02T03:00:00,63.8,60.1,68.0,58.1,51.1,63.0,1012.2,1009.1,1015.0,0.8,2.0,32.2,21.7,8.3,12.8,24.9,63.8,63.8,3.2,34.2,83.0,0.5,3.0,23.7,7.0,12.8,21504.208333333336
10-02T04:00:00,63.5,59.0,68.0,57.8,50.0,63.0,1012.3,1009.3,1015.1,0.7,2.2,25.9,21.4,8.0,13.9,30.9,63.5,63.5,3.4,32.1,86.0,0.8,3.0,25.8,2.0,13.3,21608.916666666664
10-02T05:00:00,63.3,59.0,66.9,57.6,50.0,63.0,1012.5,1009.5,1015.5,0.6,2.4,26.7,19.2,11.3,11.0,31.8,63.3,63.3,3.4,31.3,87.0,1.0,3.0,24.7,2.0,10.8,22606.375
10-02T06:00:00,63.6,60.1,68.0,57.2,48.9,63.0,1012.9,1009.8,1015.8,0.8,2.2,16.1,17.7,19.8,15.1,31.2,63.6,63.6,3.9,23.8,85.0,1.0,3.0,27.8,2.0,9.8,24396.833333333336
10-02T07:00:00,65.0,61.0,70.0,57.4,48.0,63.0,1013.3,1010.2,1016.2,1.4,1.4,18.3,16.5,19.3,19.1,26.8,65.0,65.0,4.0,23.8,96.0,1.2,3.0,27.9,2.0,10.7,25261.5
10-02T08:00:00,67.7,63.0,73.9,57.1,46.9,63.0,1013.7,1010.6,1016.6,3.2,0.6,19.1,20.1,18.3,18.3,24.1,67.7,67.7,4.5,16.4,140.0,1.1,3.0,24.0,4.0,17.4,25541.45833333333
10-02T09:00:00,70.6,64.9,79.0,56.5,46.0,63.0,1013.9,1010.7,1016.8,5.8,0.2,20.1,20.1,24.6,16.1,19.1,70.6,70.6,4.8,17.6,219.0,1.6,7.0,24.2,4.0,15.8,25828.666666666664
10-02T10:00:00,72.7,66.0,82.0,56.3,45.0,63.0,1013.8,1010.6,1016.8,7.8,0.1,20.9,23.6,19.3,20.4,15.8,72.7,72.6,6.4,10.5,242.0,4.5,7.0,41.2,6.0,21.9,26251.166666666664
10-02T11:00:00,73.4,66.9,82.0,57.1,48.9,63.0,1013.6,1010.4,1016.6,8.5,0.1,23.8,26.2,21.8,15.8,12.4,73.4,73.3,8.8,3.1,250.0,8.1,7.0,60.2,6.0,27.6,27125.625
