date,HLY_TEMP_NORMAL_LA,HLY_TEMP_10PCTL_LA,HLY_TEMP_90PCTL_LA,HLY_DEWP_NORMAL_LA,HLY_DEWP_10PCTL_LA,HLY_DEWP_90PCTL_LA,HLY_PRES_NORMAL_LA,HLY_PRES_10PCTL_LA,HLY_PRES_90PCTL_LA,HLY_CLDH_NORMAL_LA,HLY_HTDH_NORMAL_LA,HLY_CLOD_PCTCLR_LA,HLY_CLOD_PCTFEW_LA,HLY_CLOD_PCTSCT_LA,HLY_CLOD_PCTBKN_LA,HLY_CLOD_PCTOVC_LA,HLY_HIDX_NORMAL_LA,HLY_WCHL_NORMAL_LA,HLY_WIND_AVGSPD_LA,HLY_WIND_PCTCLM_LA,HLY_WIND_VCTDIR_LA,HLY_WIND_VCTSPD_LA,HLY_WIND_1STDIR_LA,HLY_WIND_1STPCT_LA,HLY_WIND_2NDDIR_LA,HLY_WIND_2NDPCT_LA,AvgMegawatts2019-2020-2021
01-18T08:00:00,53.8,48.0,59.0,40.6,24.1,54.0,1019.5,1015.3,1023.9,0.0,11.2,16.2,20.9,18.8,23.6,20.4,53.8,53.3,5.1,16.7,70.0,2.9,3.0,33.7,2.0,21.7,279755.3333333333
01-18T09:00:00,57.1,51.8,64.0,40.8,24.1,54.0,1020.0,1015.9,1024.4,0.2,8.1,17.4,19.2,20.5,21.8,21.0,57.1,56.9,5.7,12.9,79.0,3.1,3.0,37.1,2.0,19.9,271424.0
01-18T10:00:00,60.3,54.0,68.0,41.1,23.0,54.0,1020.3,1016.3,1024.7,0.9,5.6,14.9,18.2,20.3,28.4,18.2,60.3,60.2,6.0,15.0,81.0,2.5,3.0,29.4,2.0,19.2,263816.0
01-18T11:00:00,62.9,55.2,72.0,40.7,21.9,54.0,1020.1,1016.0,1024.3,1.9,4.0,15.8,21.3,22.6,22.6,17.7,62.9,62.9,5.7,19.8,132.0,1.0,3.0,19.8,4.0,13.9,258433.33333333334
01-18T12:00:00,64.3,55.9,75.0,40.8,21.9,55.0,1019.1,1014.9,1023.4,2.7,3.4,16.5,22.3,20.2,23.6,17.3,64.3,64.3,6.7,12.7,237.0,2.6,7.0,28.6,6.0,17.1,255372.0
01-18T13:00:00,64.3,56.5,75.9,42.4,23.0,55.0,1018.3,1014.0,1022.5,2.6,3.3,16.2,22.5,20.4,25.3,15.7,64.3,64.3,8.8,5.1,248.0,6.0,7.0,49.0,6.0,20.8,254185.0
01-18T14:00:00,63.8,57.0,73.9,43.9,27.0,55.0,1017.8,1013.6,1022.0,2.2,3.4,16.0,22.4,21.9,23.5,16.2,63.8,63.8,9.8,3.3,253.0,7.4,7.0,59.4,6.0,18.9,257883.66666666666
01-18T15:00:00,62.8,56.3,72.0,44.8,30.0,55.4,1017.7,1013.3,1021.7,1.6,3.8,15.3,23.3,22.1,24.1,15.3,62.8,62.8,10.1,2.9,255.0,8.2,7.0,62.7,6.0,19.5,268312.3333333333
01-18T16:00:00,61.7,55.9,70.0,45.4,30.9,55.9,1017.7,1013.4,1021.6,1.2,4.5,16.1,24.8,15.8,25.9,17.4,61.7,61.7,9.9,2.0,256.0,7.9,7.0,61.0,6.0,21.4,285914.6666666667
01-18T17:00:00,60.0,55.0,66.9,45.9,32.0,55.0,1017.8,1013.4,1021.8,0.7,5.7,15.6,26.0,20.4,22.7,15.3,60.0,60.0,9.0,2.7,259.0,7.1,7.0,58.5,6.0,20.1,312709.6666666667
01-18T18:00:00,58.8,54.0,64.2,46.4,33.1,55.9,1018.1,1013.7,1022.0,0.4,6.6,17.0,26.4,20.0,21.7,14.8,58.8,58.7,7.9,6.0,261.0,5.6,7.0,51.1,6.0,20.8,318214.6666666667
01-18T19:00:00,58.3,54.0,64.0,46.4,33.1,55.9,1018.4,1013.9,1022.4,0.3,7.0,30.0,22.0,16.6,18.3,13.1,58.3,58.3,6.8,11.1,265.0,4.3,7.0,42.4,6.0,17.5,311221.0
01-18T20:00:00,58.2,53.1,64.0,45.9,30.9,55.9,1018.6,1014.1,1022.6,0.3,7.1,36.1,18.9,15.7,16.7,12.5,58.2,58.1,5.7,19.8,273.0,2.8,7.0,28.2,6.0,16.0,302847.3333333333
01-18T21:00:00,57.6,53.1,63.0,45.4,30.0,55.9,1018.8,1014.3,1022.8,0.2,7.6,37.3,17.2,14.5,18.7,12.3,57.6,57.5,5.3,20.4,281.0,1.3,7.0,18.9,6.0,14.3,291662.3333333333
01-18T22:00:00,57.1,52.0,63.0,45.0,28.9,55.9,1019.0,1014.7,1023.1,0.1,8.0,35.2,15.8,13.0,18.7,17.4,57.1,57.1,4.9,21.5,348.0,0.4,3.0,17.6,7.0,13.5,276048.0
01-18T23:00:00,56.7,51.1,63.0,44.5,28.0,55.0,1019.1,1014.9,1023.2,0.1,8.5,35.8,18.7,10.9,18.2,16.4,56.7,56.5,5.0,19.6,73.0,0.8,3.0,22.0,4.0,12.5,245325.66666666666
01-19T00:00:00,55.9,50.0,62.1,43.8,27.0,55.0,1019.0,1014.7,1023.0,0.1,9.2,34.7,19.8,13.9,16.3,15.3,55.9,55.7,5.0,20.9,50.0,1.3,3.0,24.7,2.0,12.3,268135.3333333333
01-19T01:00:00,54.8,50.0,60.1,43.1,26.1,55.0,1018.8,1014.7,1022.9,0.0,10.2,33.5,19.6,14.9,13.6,18.4,54.8,54.5,4.7,24.7,46.0,1.8,3.0,26.0,2.0,18.0,237801.33333333334
01-19T02:00:00,53.6,48.9,59.0,42.7,26.1,54.0,1018.8,1014.7,1022.8,0.0,11.4,34.7,18.5,13.3,14.5,19.0,53.6,53.2,4.5,27.3,48.0,1.8,3.0,24.0,2.0,19.4,232004.66666666666
01-19T03:00:00,52.9,46.9,59.0,42.3,26.1,54.0,1018.7,1014.4,1022.8,0.0,12.1,34.4,19.8,12.8,13.1,19.8,52.9,52.4,4.5,26.2,56.0,1.9,3.0,30.0,2.0,18.5,229816.0
01-19T04:00:00,52.2,46.0,57.9,41.8,25.0,54.0,1018.5,1014.3,1022.6,0.0,12.8,32.6,15.6,12.5,16.1,23.2,52.2,51.7,4.2,28.2,61.0,2.2,3.0,29.2,2.0,20.6,233030.0
01-19T05:00:00,51.8,46.0,57.0,41.4,25.0,54.0,1018.5,1014.2,1022.7,0.0,13.2,32.3,18.6,11.2,17.6,20.4,51.8,51.2,4.1,29.8,65.0,2.3,3.0,29.6,2.0,19.2,242287.66666666666
01-19T06:00:00,51.7,45.0,57.0,41.0,25.0,54.0,1018.8,1014.6,1023.0,0.0,13.3,32.3,17.2,14.1,17.7,18.7,51.7,51.0,4.1,30.0,67.0,2.2,3.0,28.8,2.0,18.7,257463.0
01-19T07:00:00,52.4,46.9,57.9,40.3,24.1,53.1,1019.2,1015.2,1023.6,0.0,12.6,16.1,22.9,21.6,20.3,19.0,52.4,51.7,4.8,20.0,68.0,2.6,3.0,34.6,2.0,20.1,266125.3333333333
01-19T08:00:00,53.8,48.0,60.1,40.7,25.0,54.0,1019.5,1015.6,1023.9,0.0,11.2,15.8,20.5,19.7,23.1,20.8,53.8,53.3,5.0,18.0,70.0,2.9,3.0,33.0,2.0,21.5,266883.0
01-19T09:00:00,57.1,51.8,64.0,41.0,25.0,54.0,1020.0,1015.9,1024.2,0.2,8.1,17.1,19.6,20.7,21.4,21.2,57.1,56.9,5.7,13.1,78.0,3.1,3.0,37.7,2.0,19.3,260422.33333333334
01-19T10:00:00,60.2,54.0,68.0,41.3,24.1,54.0,1020.4,1016.5,1024.5,0.8,5.6,14.5,18.7,20.3,28.0,18.5,60.2,60.2,6.0,14.8,79.0,2.5,3.0,28.2,2.0,19.1,253602.0
01-19T11:00:00,62.9,55.9,72.0,40.8,22.1,54.0,1020.1,1016.1,1024.2,1.9,4.0,15.0,21.2,22.5,22.5,18.7,62.9,62.9,5.7,20.2,136.0,0.9,3.0,19.5,4.0,13.8,249581.66666666666
01-19T12:00:00,64.3,55.9,75.0,40.9,21.9,55.0,1019.2,1015.1,1023.4,2.7,3.4,15.7,23.0,20.4,23.2,17.8,64.3,64.3,6.7,12.9,236.0,2.6,7.0,27.8,6.0,18.5,246561.66666666666
01-19T13:00:00,64.3,56.8,75.4,42.4,23.0,55.0,1018.3,1014.0,1022.5,2.7,3.3,15.3,22.1,20.8,24.9,16.9,64.3,64.3,8.9,5.6,249.0,5.9,7.0,48.8,6.0,20.2,250328.66666666666
01-19T14:00:00,63.8,57.0,73.9,43.9,28.0,55.4,1017.8,1013.6,1022.0,2.2,3.4,14.9,22.9,21.4,23.5,17.3,63.8,63.8,9.9,3.3,253.0,7.5,7.0,59.9,6.0,18.7,256339.0
01-19T15:00:00,62.8,56.3,72.0,44.9,30.0,55.9,1017.7,1013.3,1021.7,1.6,3.8,14.5,22.8,22.3,24.6,15.8,62.8,62.8,10.2,3.1,254.0,8.2,7.0,62.3,6.0,19.0,265409.0
01-19T16:00:00,61.7,55.9,70.0,45.4,30.9,55.9,1017.7,1013.4,1021.6,1.2,4.5,15.2,25.3,14.0,27.1,18.4,61.7,61.7,10.1,1.6,255.0,8.0,7.0,61.0,6.0,21.5,281030.0
01-19T17:00:00,60.0,55.0,68.0,46.0,33.1,55.0,1017.8,1013.4,1021.8,0.7,5.7,14.8,26.3,19.9,21.4,17.6,60.0,60.0,9.1,2.4,259.0,7.1,7.0,57.9,6.0,20.0,304707.3333333333
01-19T18:00:00,58.8,54.0,64.9,46.5,34.0,55.9,1018.1,1013.7,1022.1,0.4,6.6,16.3,27.2,18.8,21.5,16.1,58.8,58.8,7.9,6.2,261.0,5.6,7.0,51.1,6.0,20.6,309804.0
01-19T19:00:00,58.4,54.0,64.0,46.5,33.1,55.9,1018.4,1014.0,1022.5,0.3,7.0,29.3,22.3,16.1,18.1,14.1,58.4,58.3,6.8,10.4,265.0,4.3,7.0,43.3,6.0,16.7,304228.6666666667
01-19T20:00:00,58.2,53.1,64.0,45.9,32.0,55.9,1018.6,1014.2,1022.7,0.3,7.1,34.9,20.1,14.7,17.0,13.3,58.2,58.1,5.7,20.0,274.0,2.8,7.0,27.3,6.0,15.7,295762.3333333333
01-19T21:00:00,57.6,53.1,64.0,45.4,30.0,55.9,1018.8,1014.5,1022.9,0.2,7.6,36.0,17.8,15.1,17.3,13.8,57.6,57.5,5.3,21.1,281.0,1.3,7.0,19.1,6.0,14.3,284166.3333333333
