date,HLY_TEMP_NORMAL_LA,HLY_TEMP_10PCTL_LA,HLY_TEMP_90PCTL_LA,HLY_DEWP_NORMAL_LA,HLY_DEWP_10PCTL_LA,HLY_DEWP_90PCTL_LA,HLY_PRES_NORMAL_LA,HLY_PRES_10PCTL_LA,HLY_PRES_90PCTL_LA,HLY_CLDH_NORMAL_LA,HLY_HTDH_NORMAL_LA,HLY_CLOD_PCTCLR_LA,HLY_CLOD_PCTFEW_LA,HLY_CLOD_PCTSCT_LA,HLY_CLOD_PCTBKN_LA,HLY_CLOD_PCTOVC_LA,HLY_HIDX_NORMAL_LA,HLY_WCHL_NORMAL_LA,HLY_WIND_AVGSPD_LA,HLY_WIND_PCTCLM_LA,HLY_WIND_VCTDIR_LA,HLY_WIND_VCTSPD_LA,HLY_WIND_1STDIR_LA,HLY_WIND_1STPCT_LA,HLY_WIND_2NDDIR_LA,HLY_WIND_2NDPCT_LA,Megawatts_2019,Megawatts_2020,Megawatts_2021
11-14T19:00:00,62.2,57.9,66.9,51.3,39.9,59.0,1016.3,1012.4,1020.0,0.7,3.6,36.9,18.9,16.0,15.8,12.4,62.2,62.2,6.7,9.6,265.0,5.3,7.0,50.7,6.0,21.3,26964.75,24911.25,25671.25
11-14T20:00:00,62.0,57.0,66.9,50.8,37.0,57.9,1016.4,1012.6,1020.4,0.7,3.7,39.7,16.3,16.7,15.3,12.0,62.0,62.0,5.6,18.0,269.0,3.7,7.0,33.4,6.0,19.9,26013.75,24268.166666666668,24728.0
11-14T21:00:00,61.6,57.0,66.9,50.2,35.1,57.9,1016.7,1012.7,1020.6,0.5,4.0,42.1,17.0,15.8,13.6,11.4,61.6,61.6,5.2,18.3,272.0,1.8,7.0,23.2,6.0,12.8,24641.25,23485.08333333333,23705.33333333333
11-14T22:00:00,61.1,57.0,66.0,49.6,35.1,57.9,1016.9,1012.8,1020.7,0.5,4.4,40.7,18.0,12.0,16.6,12.7,61.1,61.1,4.7,22.4,315.0,0.7,3.0,15.7,7.0,13.9,22898.25,22301.916666666668,22152.25
11-14T23:00:00,60.8,55.9,66.0,48.7,33.1,57.9,1016.9,1013.0,1020.8,0.4,4.7,44.7,16.0,12.3,14.8,12.1,60.8,60.8,4.7,20.2,39.0,0.8,3.0,21.9,2.0,13.3,21554.166666666668,21143.18181818182,20758.75
11-15T00:00:00,60.1,55.0,65.8,47.9,30.9,57.9,1016.8,1012.7,1020.7,0.4,5.3,41.5,18.0,12.3,13.8,14.3,60.1,60.0,4.7,20.4,51.0,1.0,3.0,25.4,2.0,12.7,20652.615384615383,20247.384615384617,19932.153846153848
11-15T01:00:00,59.0,54.0,64.0,47.4,28.9,57.0,1016.6,1012.6,1020.4,0.3,6.3,39.6,18.9,11.9,12.7,16.9,59.0,58.9,4.5,22.9,57.0,1.4,3.0,26.4,2.0,17.4,19927.08333333333,19562.83333333333,19391.166666666668
11-15T02:00:00,57.9,52.0,63.0,46.7,28.9,57.0,1016.6,1012.6,1020.5,0.1,7.2,39.8,15.8,15.5,12.2,16.8,57.9,57.8,4.3,24.7,53.0,1.8,3.0,27.3,2.0,20.4,19436.166666666668,19164.33333333333,19136.166666666668
11-15T03:00:00,57.0,52.0,62.1,46.2,28.9,57.0,1016.5,1012.6,1020.3,0.1,8.1,39.4,17.1,15.8,11.3,16.3,57.0,56.9,3.9,29.6,58.0,2.0,3.0,26.5,2.0,19.9,19256.416666666668,18959.166666666668,19162.25
11-15T04:00:00,56.5,51.1,62.1,45.5,27.0,55.9,1016.4,1012.3,1020.3,0.1,8.6,36.8,13.5,14.2,16.3,19.1,56.5,56.4,3.7,33.0,61.0,2.0,3.0,29.5,2.0,18.6,19630.916666666668,19044.33333333333,19498.83333333333
11-15T05:00:00,56.1,50.0,62.1,45.0,27.0,55.9,1016.5,1012.4,1020.4,0.1,9.0,39.2,15.7,13.1,14.2,17.8,56.1,55.9,3.9,29.8,57.0,2.0,3.0,28.4,2.0,18.9,20802.416666666668,19468.83333333333,20856.5
11-15T06:00:00,55.8,50.0,61.0,44.5,27.0,55.9,1016.8,1012.8,1020.8,0.0,9.2,25.8,24.2,17.7,15.6,16.7,55.8,55.7,3.9,33.1,59.0,1.8,3.0,25.9,2.0,16.7,22778.33333333333,19990.416666666668,22735.416666666668
11-15T07:00:00,57.0,51.1,62.1,44.0,26.1,55.9,1017.3,1013.1,1021.3,0.1,8.1,17.5,22.6,23.7,19.9,16.4,57.0,56.8,4.6,19.8,59.0,2.3,3.0,30.5,2.0,20.7,23791.416666666668,19897.5,23628.08333333333
11-15T08:00:00,59.8,54.0,66.0,44.2,25.0,55.9,1017.8,1013.6,1021.6,0.5,5.7,15.8,24.6,23.6,18.7,17.4,59.8,59.8,4.9,17.6,52.0,2.5,3.0,29.1,2.0,23.9,23585.58333333333,19362.83333333333,23813.33333333333
11-15T09:00:00,63.3,57.0,71.1,44.2,25.0,57.0,1018.1,1014.0,1021.9,1.5,3.2,18.3,23.8,23.8,19.6,14.5,63.3,63.3,5.1,16.9,67.0,2.3,3.0,26.7,2.0,19.3,23135.08333333333,18755.0,23900.33333333333
11-15T10:00:00,66.3,60.1,75.9,44.0,25.0,57.0,1018.1,1013.6,1022.1,3.0,1.7,18.5,21.2,23.6,24.0,12.7,66.3,66.3,5.2,19.9,90.0,0.7,3.0,20.0,4.0,13.9,22835.08333333333,18304.916666666668,24047.0
11-15T11:00:00,68.3,61.0,79.0,43.9,24.1,57.0,1017.7,1013.5,1021.7,4.4,1.1,20.5,24.8,25.1,18.9,10.7,68.3,68.3,6.0,15.6,244.0,2.3,7.0,26.8,6.0,15.0,22683.916666666668,18029.33333333333,24165.666666666668
11-15T12:00:00,68.8,62.1,78.1,45.4,26.1,57.0,1016.9,1012.7,1020.6,4.7,0.9,21.7,23.9,26.2,19.4,8.8,68.8,68.8,8.4,6.4,253.0,6.7,7.0,50.6,6.0,24.3,22863.83333333333,18210.25,24347.08333333333
11-15T13:00:00,68.5,61.0,77.0,47.0,28.9,57.0,1016.2,1011.9,1020.1,4.3,0.9,21.3,25.1,26.6,17.0,10.1,68.5,68.5,10.1,3.3,257.0,8.8,7.0,61.8,6.0,24.2,23461.916666666668,18836.0,25036.416666666668
